549,2 515,1 544,2 513,1 0,0 0,0 0,0 0,1
549,1 181,1 0,0 0,0 0,0 0,0 0,0 0,5
439,1 515,1 193,1 179,1 513,1 0,0 0,0 0,1
189,1 192,1 180,1 184,1 179,1 0,0 0,0 0,2
189,1 180,1 375,1 179,1 427,1 183,1 0,0 0,1
549,2 515,2 544,2 513,1 0,0 0,0 0,0 0,3
549,2 515,2 427,1 312,1 183,1 0,0 0,0 0,1
549,2 315,1 505,1 0,0 0,0 0,0 0,0 0,1
439,1 375,1 371,1 446,1 0,0 0,0 0,0 0,1
439,2 376,1 183,1 371,1 0,0 0,0 0,0 0,2
439,1 375,1 371,1 0,0 0,0 0,0 0,0 0,3
189,1 184,1 427,1 379,1 371,1 380,1 0,0 0,1
189,1 180,1 375,1 427,1 179,1 183,1 0,0 0,1
439,1 515,1 368,1 193,1 183,1 0,0 0,0 0,3
189,1 184,1 371,1 368,1 0,0 0,0 0,0 0,1
439,1 190,1 184,1 180,1 0,0 0,0 0,0 0,1
439,1 375,1 368,1 0,0 0,0 0,0 0,0 0,1
439,2 515,3 371,3 430,1 0,0 0,0 0,0 0,2
439,1 428,1 184,1 194,1 183,1 0,0 0,0 0,1
439,1 368,1 544,1 180,1 429,1 0,0 0,0 0,1
439,1 375,1 371,1 429,1 0,0 0,0 0,0 0,3
439,1 544,1 368,1 429,1 427,1 0,0 0,0 0,1
439,2 368,3 380,1 371,3 513,2 378,1 0,0 0,1
189,1 184,1 379,1 371,1 183,1 380,1 0,0 0,1
549,1 315,1 377,1 0,0 0,0 0,0 0,0 0,1
439,1 368,1 193,1 429,1 196,1 0,0 0,0 0,1
439,1 544,1 368,1 423,1 0,0 0,0 0,0 0,1
439,1 184,1 515,1 181,1 0,0 0,0 0,0 0,1
189,1 184,1 180,1 371,1 179,1 0,0 0,0 0,2
439,1 544,1 375,1 196,1 0,0 0,0 0,0 0,1
439,2 375,2 371,3 513,2 0,0 0,0 0,0 0,1
439,1 375,1 428,1 193,1 183,1 0,0 0,0 0,2
439,2 375,2 371,3 429,1 380,1 0,0 0,0 0,1
189,1 349,1 0,0 0,0 0,0 0,0 0,0 0,1
259,2 368,3 371,3 430,1 378,1 0,0 0,0 0,1
189,1 184,1 183,1 371,1 446,1 0,0 0,0 0,1
439,1 184,1 513,1 371,1 0,0 0,0 0,0 0,1
439,1 371,1 0,0 0,0 0,0 0,0 0,0 0,1
439,2 184,1 371,2 429,2 0,0 0,0 0,0 0,1
439,1 181,1 190,1 183,1 194,1 0,0 0,0 0,1
439,2 376,1 371,1 378,1 0,0 0,0 0,0 0,1
439,2 375,2 380,1 379,1 371,3 0,0 0,0 0,2
259,1 180,1 380,1 375,1 379,1 371,1 0,0 0,1
439,1 180,1 429,1 183,1 194,1 371,1 0,0 0,1
509,1 375,2 380,1 379,1 446,1 0,0 0,0 0,1
549,2 515,3 544,1 541,1 0,0 0,0 0,0 0,1
439,1 190,1 194,1 196,1 427,1 0,0 0,0 0,1
439,1 375,1 190,1 427,1 0,0 0,0 0,0 0,1
439,2 184,1 427,1 371,1 183,1 380,1 0,0 0,1
439,1 190,1 428,1 371,1 0,0 0,0 0,0 0,1
439,1 181,1 375,1 423,1 0,0 0,0 0,0 0,1
189,1 180,1 181,1 427,1 179,1 0,0 0,0 0,1
549,2 515,3 378,1 427,1 312,1 0,0 0,0 0,1
549,2 515,3 315,1 0,0 0,0 0,0 0,0 0,1
439,1 190,1 368,1 183,1 427,1 0,0 0,0 0,1
549,2 515,3 312,1 183,1 180,1 0,0 0,0 0,1
439,2 180,3 428,1 183,1 379,1 371,3 380,1 0,1
189,1 380,1 184,1 371,1 179,1 180,1 0,0 0,2
439,2 180,1 378,1 380,1 352,1 379,1 371,3 0,1
189,1 184,1 179,1 371,1 180,1 0,0 0,0 0,2
549,2 515,2 544,2 0,0 0,0 0,0 0,0 0,1
439,1 375,1 179,1 194,1 427,1 0,0 0,0 0,1
549,2 515,2 544,1 513,2 0,0 0,0 0,0 0,1
439,1 428,1 515,1 193,1 179,1 0,0 0,0 0,1
189,1 181,1 180,1 196,1 183,1 179,1 194,1 0,2
439,1 515,1 179,1 180,1 371,1 0,0 0,0 0,1
439,2 375,2 371,2 0,0 0,0 0,0 0,0 0,1
439,1 428,1 515,1 180,1 192,1 0,0 0,0 0,1
509,1 376,1 371,3 0,0 0,0 0,0 0,0 0,1
439,1 190,1 179,1 180,1 513,1 0,0 0,0 0,1
439,1 428,1 544,1 179,1 196,1 0,0 0,0 0,1
439,2 427,1 430,1 371,3 379,1 0,0 0,0 0,1
439,2 184,1 371,1 427,1 183,1 0,0 0,0 0,1
439,1 544,1 183,1 196,1 192,1 0,0 0,0 0,1
189,1 375,1 179,1 377,1 183,1 0,0 0,0 0,1
439,1 184,1 371,1 183,1 272,1 0,0 0,0 0,1
439,1 368,1 375,1 0,0 0,0 0,0 0,0 0,2
